Image_Index,Real_Label,Predicted_Label,Is_Correct
0,2,6,0
1,3,3,1
2,4,4,1
3,5,7,0
4,6,3,0
5,7,7,1
6,8,4,0
7,9,9,1
8,0,0,1
9,1,1,1
10,2,4,0
11,3,3,1
12,4,4,1
13,5,2,0
14,6,6,1
15,7,7,1
16,8,7,0
17,9,9,1
18,1,1,1
19,0,0,1
20,1,1,1
21,2,9,0
22,7,6,0
23,5,5,1
24,3,2,0
25,4,4,1
26,4,4,1
27,0,0,1
28,0,0,1
29,6,6,1
30,9,8,0
31,6,6,1
32,6,6,1
33,5,7,0
34,7,6,0
35,2,8,0
36,3,6,0
37,4,2,0
38,4,4,1
39,9,4,0
40,1,1,1
41,4,2,0
42,0,0,1
43,7,7,1
44,9,2,0
45,5,5,1
46,7,6,0
47,2,4,0
48,3,3,1
49,1,1,1
50,4,4,1
51,4,4,1
52,0,0,1
53,9,9,1
54,9,9,1
55,6,6,1
56,1,1,1
57,8,8,1
58,3,3,1
59,3,3,1
60,7,7,1
61,3,3,1
62,9,6,0
63,8,8,1
64,8,5,0
65,4,4,1
66,7,9,0
67,7,9,0
68,6,6,1
69,2,2,1
70,1,1,1
71,9,4,0
72,8,8,1
73,7,7,1
74,8,9,0
75,8,0,0
76,7,9,0
77,2,4,0
78,2,3,0
79,3,6,0
80,9,9,1
81,3,3,1
82,3,3,1
83,5,8,0
84,5,7,0
85,0,0,1
86,7,7,1
87,9,9,1
88,5,2,0
89,6,6,1
90,5,6,0
91,1,1,1
92,4,4,1
93,1,1,1
94,1,1,1
95,2,9,0
96,8,4,0
97,2,7,0
98,6,6,1
99,1,1,1
100,5,7,0
101,0,2,0
102,1,1,1
103,2,4,0
104,3,3,1
105,4,9,0
106,5,7,0
107,6,6,1
108,7,7,1
109,8,4,0
110,9,7,0
111,0,0,1
112,1,1,1
113,2,1,0
114,3,8,0
115,4,2,0
116,5,7,0
117,6,9,0
118,7,7,1
119,8,2,0
120,9,9,1
121,0,0,1
122,1,1,1
123,2,9,0
124,3,0,0
125,4,4,1
126,5,5,1
127,6,3,0
128,7,7,1
129,8,8,1
130,8,8,1
131,0,8,0
132,6,9,0
133,0,3,0
134,0,2,0
135,2,4,0
136,3,3,1
137,7,7,1
138,9,6,0
139,4,5,0
140,7,7,1
141,1,1,1
142,9,6,0
143,1,1,1
144,7,7,1
145,1,1,1
146,4,8,0
147,0,0,1
148,0,8,0
149,1,1,1
150,7,9,0
151,5,3,0
152,7,9,0
153,1,1,1
154,3,3,1
155,3,3,1
156,3,3,1
157,1,1,1
158,6,9,0
159,9,9,1
160,7,4,0
161,1,1,1
162,3,3,1
163,0,2,0
164,2,9,0
165,6,6,1
166,0,8,0
167,8,3,0
168,9,6,0
169,4,2,0
170,3,3,1
171,5,2,0
172,4,3,0
173,8,2,0
174,1,1,1
175,5,5,1
176,9,3,0
177,0,2,0
178,6,4,0
179,6,4,0
180,3,5,0
181,8,8,1
182,1,1,1
183,4,4,1
184,7,9,0
185,5,3,0
186,2,4,0
187,0,3,0
188,0,2,0
189,1,1,1
190,7,7,1
191,8,4,0
192,9,7,0
193,6,4,0
194,8,0,0
195,8,8,1
196,2,2,1
197,3,3,1
198,6,2,0
199,1,1,1
200,2,2,1
201,9,6,0
202,5,7,0
203,2,4,0
204,0,5,0
205,1,1,1
206,2,4,0
207,3,3,1
208,4,9,0
209,5,6,0
210,6,4,0
211,7,4,0
212,8,8,1
213,9,4,0
214,0,0,1
215,1,1,1
216,2,8,0
217,3,6,0
218,4,8,0
219,5,0,0
220,6,3,0
221,7,7,1
222,8,1,0
223,9,9,1
224,0,0,1
225,1,1,1
226,2,3,0
227,3,6,0
228,4,9,0
229,5,6,0
230,6,6,1
231,7,4,0
232,8,8,1
