Window_Index,Real_Label,Real_Activity,Predicted_Label,Predicted_Activity,Is_Correct
0,0,Downstairs,0,Downstairs,1
1,0,Downstairs,0,Downstairs,1
2,0,Downstairs,5,Walking,0
3,0,Downstairs,0,Downstairs,1
4,0,Downstairs,5,Walking,0
5,0,Downstairs,1,Jogging,0
6,1,Jogging,1,Jogging,1
7,1,Jogging,1,Jogging,1
8,1,Jogging,1,Jogging,1
9,1,Jogging,1,Jogging,1
10,1,Jogging,1,Jogging,1
11,1,Jogging,1,Jogging,1
12,1,Jogging,1,Jogging,1
13,1,Jogging,4,Upstairs,0
14,1,Jogging,1,Jogging,1
15,1,Jogging,4,Upstairs,0
16,1,Jogging,4,Upstairs,0
17,1,Jogging,4,Upstairs,0
18,1,Jogging,4,Upstairs,0
19,1,Jogging,1,Jogging,1
20,1,Jogging,1,Jogging,1
21,1,Jogging,1,Jogging,1
22,1,Jogging,4,Upstairs,0
23,1,Jogging,4,Upstairs,0
24,1,Jogging,1,Jogging,1
25,1,Jogging,4,Upstairs,0
26,1,Jogging,1,Jogging,1
27,1,Jogging,1,Jogging,1
28,1,Jogging,4,Upstairs,0
29,1,Jogging,1,Jogging,1
30,1,Jogging,1,Jogging,1
31,1,Jogging,1,Jogging,1
32,1,Jogging,1,Jogging,1
33,1,Jogging,4,Upstairs,0
34,1,Jogging,1,Jogging,1
35,1,Jogging,1,Jogging,1
36,1,Jogging,4,Upstairs,0
37,1,Jogging,4,Upstairs,0
38,1,Jogging,1,Jogging,1
39,1,Jogging,4,Upstairs,0
40,1,Jogging,1,Jogging,1
41,1,Jogging,1,Jogging,1
42,1,Jogging,1,Jogging,1
43,1,Jogging,0,Downstairs,0
44,1,Jogging,1,Jogging,1
45,1,Jogging,1,Jogging,1
46,1,Jogging,1,Jogging,1
47,1,Jogging,1,Jogging,1
48,1,Jogging,1,Jogging,1
49,1,Jogging,1,Jogging,1
50,1,Jogging,4,Upstairs,0
51,1,Jogging,4,Upstairs,0
52,1,Jogging,4,Upstairs,0
53,1,Jogging,4,Upstairs,0
54,2,Sitting,4,Upstairs,0
55,2,Sitting,3,Standing,0
56,2,Sitting,3,Standing,0
57,2,Sitting,3,Standing,0
58,2,Sitting,3,Standing,0
59,2,Sitting,3,Standing,0
60,2,Sitting,3,Standing,0
61,2,Sitting,3,Standing,0
62,2,Sitting,3,Standing,0
63,2,Sitting,3,Standing,0
64,2,Sitting,3,Standing,0
65,2,Sitting,3,Standing,0
66,2,Sitting,3,Standing,0
67,2,Sitting,3,Standing,0
68,2,Sitting,3,Standing,0
69,2,Sitting,3,Standing,0
70,2,Sitting,3,Standing,0
71,3,Standing,3,Standing,1
72,3,Standing,3,Standing,1
73,3,Standing,3,Standing,1
74,3,Standing,3,Standing,1
75,3,Standing,3,Standing,1
76,3,Standing,3,Standing,1
77,3,Standing,3,Standing,1
78,3,Standing,3,Standing,1
79,3,Standing,3,Standing,1
80,3,Standing,3,Standing,1
81,3,Standing,3,Standing,1
82,3,Standing,3,Standing,1
83,4,Upstairs,4,Upstairs,1
84,4,Upstairs,4,Upstairs,1
85,4,Upstairs,5,Walking,0
86,4,Upstairs,5,Walking,0
87,4,Upstairs,5,Walking,0
88,4,Upstairs,5,Walking,0
89,4,Upstairs,5,Walking,0
90,4,Upstairs,5,Walking,0
91,5,Walking,5,Walking,1
92,5,Walking,5,Walking,1
93,5,Walking,5,Walking,1
94,5,Walking,5,Walking,1
95,5,Walking,5,Walking,1
96,5,Walking,5,Walking,1
97,5,Walking,5,Walking,1
98,5,Walking,4,Upstairs,0
99,5,Walking,4,Upstairs,0
100,5,Walking,5,Walking,1
101,5,Walking,4,Upstairs,0
102,5,Walking,4,Upstairs,0
103,5,Walking,4,Upstairs,0
104,5,Walking,4,Upstairs,0
105,5,Walking,4,Upstairs,0
106,5,Walking,1,Jogging,0
107,5,Walking,1,Jogging,0
108,5,Walking,1,Jogging,0
109,5,Walking,1,Jogging,0
110,5,Walking,1,Jogging,0
111,5,Walking,1,Jogging,0
112,5,Walking,1,Jogging,0
113,5,Walking,1,Jogging,0
114,5,Walking,1,Jogging,0
115,5,Walking,1,Jogging,0
116,5,Walking,1,Jogging,0
117,5,Walking,1,Jogging,0
118,5,Walking,1,Jogging,0
119,5,Walking,0,Downstairs,0
120,5,Walking,1,Jogging,0
121,5,Walking,1,Jogging,0
122,5,Walking,1,Jogging,0
123,5,Walking,1,Jogging,0
124,5,Walking,1,Jogging,0
125,5,Walking,1,Jogging,0
126,5,Walking,1,Jogging,0
127,5,Walking,1,Jogging,0
128,5,Walking,1,Jogging,0
129,5,Walking,0,Downstairs,0
130,5,Walking,1,Jogging,0
131,5,Walking,0,Downstairs,0
132,5,Walking,1,Jogging,0
133,5,Walking,0,Downstairs,0
134,0,Downstairs,1,Jogging,0
135,0,Downstairs,5,Walking,0
136,0,Downstairs,5,Walking,0
137,0,Downstairs,5,Walking,0
138,0,Downstairs,5,Walking,0
139,0,Downstairs,5,Walking,0
140,0,Downstairs,5,Walking,0
141,0,Downstairs,5,Walking,0
142,0,Downstairs,5,Walking,0
143,1,Jogging,1,Jogging,1
144,1,Jogging,1,Jogging,1
145,1,Jogging,1,Jogging,1
146,1,Jogging,1,Jogging,1
147,1,Jogging,1,Jogging,1
148,1,Jogging,1,Jogging,1
149,1,Jogging,1,Jogging,1
150,1,Jogging,1,Jogging,1
151,1,Jogging,1,Jogging,1
152,1,Jogging,1,Jogging,1
153,1,Jogging,1,Jogging,1
154,1,Jogging,1,Jogging,1
155,1,Jogging,1,Jogging,1
156,1,Jogging,1,Jogging,1
157,1,Jogging,1,Jogging,1
158,1,Jogging,1,Jogging,1
159,1,Jogging,1,Jogging,1
160,1,Jogging,1,Jogging,1
161,1,Jogging,1,Jogging,1
162,1,Jogging,1,Jogging,1
163,1,Jogging,1,Jogging,1
164,1,Jogging,1,Jogging,1
165,1,Jogging,1,Jogging,1
166,1,Jogging,1,Jogging,1
167,1,Jogging,1,Jogging,1
168,1,Jogging,1,Jogging,1
169,1,Jogging,1,Jogging,1
170,1,Jogging,1,Jogging,1
171,1,Jogging,1,Jogging,1
172,1,Jogging,1,Jogging,1
173,2,Sitting,5,Walking,0
174,2,Sitting,2,Sitting,1
175,2,Sitting,2,Sitting,1
176,2,Sitting,2,Sitting,1
177,2,Sitting,2,Sitting,1
178,2,Sitting,2,Sitting,1
179,2,Sitting,2,Sitting,1
180,2,Sitting,2,Sitting,1
181,2,Sitting,2,Sitting,1
182,2,Sitting,2,Sitting,1
183,2,Sitting,2,Sitting,1
184,2,Sitting,2,Sitting,1
185,2,Sitting,2,Sitting,1
186,3,Standing,3,Standing,1
187,3,Standing,3,Standing,1
188,3,Standing,3,Standing,1
189,3,Standing,3,Standing,1
190,3,Standing,3,Standing,1
191,3,Standing,3,Standing,1
192,3,Standing,3,Standing,1
193,3,Standing,3,Standing,1
194,3,Standing,3,Standing,1
195,3,Standing,3,Standing,1
196,3,Standing,3,Standing,1
197,3,Standing,3,Standing,1
198,3,Standing,3,Standing,1
199,4,Upstairs,4,Upstairs,1
200,4,Upstairs,4,Upstairs,1
201,4,Upstairs,0,Downstairs,0
202,4,Upstairs,5,Walking,0
203,4,Upstairs,5,Walking,0
204,4,Upstairs,4,Upstairs,1
205,4,Upstairs,4,Upstairs,1
206,4,Upstairs,4,Upstairs,1
207,4,Upstairs,4,Upstairs,1
208,4,Upstairs,4,Upstairs,1
209,4,Upstairs,4,Upstairs,1
210,4,Upstairs,5,Walking,0
211,4,Upstairs,5,Walking,0
212,4,Upstairs,5,Walking,0
213,4,Upstairs,5,Walking,0
214,4,Upstairs,5,Walking,0
215,4,Upstairs,4,Upstairs,1
216,4,Upstairs,4,Upstairs,1
217,4,Upstairs,4,Upstairs,1
218,5,Walking,4,Upstairs,0
219,5,Walking,0,Downstairs,0
220,5,Walking,5,Walking,1
221,5,Walking,5,Walking,1
222,5,Walking,5,Walking,1
223,5,Walking,5,Walking,1
224,5,Walking,5,Walking,1
225,5,Walking,0,Downstairs,0
226,5,Walking,0,Downstairs,0
227,5,Walking,5,Walking,1
228,5,Walking,0,Downstairs,0
229,5,Walking,0,Downstairs,0
230,5,Walking,0,Downstairs,0
231,5,Walking,0,Downstairs,0
232,5,Walking,0,Downstairs,0
233,5,Walking,5,Walking,1
234,5,Walking,5,Walking,1
235,5,Walking,0,Downstairs,0
236,5,Walking,0,Downstairs,0
237,5,Walking,5,Walking,1
238,5,Walking,0,Downstairs,0
239,5,Walking,0,Downstairs,0
240,5,Walking,0,Downstairs,0
241,5,Walking,0,Downstairs,0
242,5,Walking,0,Downstairs,0
243,5,Walking,0,Downstairs,0
244,5,Walking,4,Upstairs,0
245,5,Walking,0,Downstairs,0
246,5,Walking,0,Downstairs,0
247,5,Walking,0,Downstairs,0
248,5,Walking,0,Downstairs,0
249,5,Walking,5,Walking,1
250,5,Walking,5,Walking,1
251,5,Walking,0,Downstairs,0
252,5,Walking,5,Walking,1
253,5,Walking,0,Downstairs,0
254,5,Walking,5,Walking,1
255,5,Walking,0,Downstairs,0
256,5,Walking,0,Downstairs,0
257,5,Walking,0,Downstairs,0
258,5,Walking,0,Downstairs,0
259,5,Walking,0,Downstairs,0
260,5,Walking,5,Walking,1
261,5,Walking,5,Walking,1
262,5,Walking,0,Downstairs,0
263,5,Walking,0,Downstairs,0
264,5,Walking,5,Walking,1
265,5,Walking,0,Downstairs,0
266,5,Walking,5,Walking,1
267,5,Walking,5,Walking,1
268,5,Walking,5,Walking,1
269,5,Walking,5,Walking,1
270,5,Walking,5,Walking,1
271,5,Walking,0,Downstairs,0
272,5,Walking,0,Downstairs,0
273,5,Walking,0,Downstairs,0
274,5,Walking,0,Downstairs,0
275,5,Walking,0,Downstairs,0
276,5,Walking,4,Upstairs,0
277,5,Walking,5,Walking,1
278,5,Walking,5,Walking,1
279,5,Walking,5,Walking,1
280,5,Walking,5,Walking,1
281,5,Walking,5,Walking,1
282,5,Walking,5,Walking,1
283,5,Walking,5,Walking,1
284,5,Walking,5,Walking,1
285,5,Walking,5,Walking,1
286,5,Walking,5,Walking,1
287,5,Walking,5,Walking,1
