🎲 Selected 300 random files for testing.
🔌 Connected to COM8. Resetting board...
⏳ Waiting for board initialization...
✅ Board Ready. Starting Test Loop...
---------------------------------------------------------------------------
FILENAME                  | REAL  | PRED     | RESULT
---------------------------------------------------------------------------
2_theo_39.wav             | 2     | 2        | ✅
1_jackson_48.wav          | 1     | 1        | ✅
5_lucas_19.wav            | 5     | 7        | ❌
4_theo_23.wav             | 4     | 4        | ✅
9_jackson_38.wav          | 9     | 9        | ✅
3_jackson_23.wav          | 3     | 3        | ✅
8_george_17.wav           | 8     | 8        | ✅
2_lucas_4.wav             | 2     | 3        | ❌
8_jackson_7.wav           | 8     | 8        | ✅
8_theo_36.wav             | 8     | 8        | ✅
9_george_44.wav           | 9     | 9        | ✅
9_theo_44.wav             | 9     | 9        | ✅
1_nicolas_37.wav          | 1     | 1        | ✅
8_yweweler_10.wav         | 8     | 8        | ✅
7_yweweler_25.wav         | 7     | 7        | ✅
8_george_3.wav            | 8     | 8        | ✅
1_nicolas_43.wav          | 1     | 1        | ✅
8_george_18.wav           | 8     | 8        | ✅
5_theo_23.wav             | 5     | 5        | ✅
5_yweweler_37.wav         | 5     | 5        | ✅
9_yweweler_8.wav          | 9     | 9        | ✅
4_yweweler_47.wav         | 4     | 4        | ✅
8_george_30.wav           | 8     | 3        | ❌
8_george_49.wav           | 8     | 8        | ✅
7_nicolas_10.wav          | 7     | 7        | ✅
3_lucas_26.wav            | 3     | 2        | ❌
3_jackson_14.wav          | 3     | 3        | ✅
5_jackson_41.wav          | 5     | 5        | ✅
2_theo_13.wav             | 2     | 2        | ✅
9_theo_4.wav              | 9     | 9        | ✅
2_nicolas_42.wav          | 2     | 2        | ✅
3_theo_31.wav             | 3     | 3        | ✅
9_theo_3.wav              | 9     | 7        | ❌
2_yweweler_46.wav         | 2     | 2        | ✅
8_nicolas_28.wav          | 8     | 3        | ❌
3_nicolas_42.wav          | 3     | 9        | ❌
5_jackson_33.wav          | 5     | 5        | ✅
3_george_49.wav           | 3     | 3        | ✅
5_nicolas_1.wav           | 5     | 5        | ✅
6_jackson_29.wav          | 6     | 8        | ❌
4_lucas_12.wav            | 4     | 4        | ✅
9_yweweler_9.wav          | 9     | 9        | ✅
6_yweweler_29.wav         | 6     | 8        | ❌
2_nicolas_2.wav           | 2     | 2        | ✅
3_george_5.wav            | 3     | 7        | ❌
4_yweweler_39.wav         | 4     | 4        | ✅
1_jackson_18.wav          | 1     | 1        | ✅
9_lucas_45.wav            | 9     | 9        | ✅
3_yweweler_31.wav         | 3     | 3        | ✅
6_nicolas_4.wav           | 6     | 6        | ✅
2_lucas_38.wav            | 2     | 2        | ✅
3_yweweler_19.wav         | 3     | 2        | ❌
7_theo_10.wav             | 7     | 5        | ❌
3_nicolas_30.wav          | 3     | 2        | ❌
4_lucas_8.wav             | 4     | 4        | ✅
9_yweweler_47.wav         | 9     | 9        | ✅
8_yweweler_7.wav          | 8     | 8        | ✅
9_yweweler_33.wav         | 9     | 9        | ✅
9_jackson_33.wav          | 9     | 9        | ✅
7_yweweler_42.wav         | 7     | 7        | ✅
3_jackson_6.wav           | 3     | 3        | ✅
9_lucas_21.wav            | 9     | 9        | ✅
4_jackson_15.wav          | 4     | 4        | ✅
9_george_5.wav            | 9     | 9        | ✅
3_george_20.wav           | 3     | 3        | ✅
2_george_22.wav           | 2     | 2        | ✅
9_lucas_25.wav            | 9     | 7        | ❌
4_jackson_16.wav          | 4     | 4        | ✅
4_lucas_34.wav            | 4     | 4        | ✅
5_nicolas_48.wav          | 5     | 1        | ❌
6_lucas_46.wav            | 6     | 6        | ✅
7_yweweler_48.wav         | 7     | 7        | ✅
2_lucas_41.wav            | 2     | 3        | ❌
7_nicolas_18.wav          | 7     | 7        | ✅
5_lucas_39.wav            | 5     | 7        | ❌
8_george_40.wav           | 8     | 8        | ✅
9_jackson_11.wav          | 9     | 9        | ✅
4_jackson_47.wav          | 4     | 4        | ✅
2_theo_20.wav             | 2     | 2        | ✅
9_nicolas_16.wav          | 9     | 9        | ✅
7_yweweler_41.wav         | 7     | 7        | ✅
7_jackson_43.wav          | 7     | 7        | ✅
5_jackson_5.wav           | 5     | 7        | ❌
6_theo_17.wav             | 6     | 2        | ❌
9_lucas_0.wav             | 9     | 9        | ✅
1_theo_48.wav             | 1     | 1        | ✅
2_george_0.wav            | 2     | 2        | ✅
3_nicolas_23.wav          | 3     | 2        | ❌
4_jackson_1.wav           | 4     | 4        | ✅
