Index,Actual_Temp,Predicted_Temp,Abs_Error
0,16.1433,16.2467,0.103401184
1,15.748,15.8435,0.09549999
2,15.4027,15.5007,0.09799957
3,15.0867,15.2124,0.1257
4,14.9,14.9256,0.025600433
5,14.9433,14.8659,0.07740021
6,15.508,15.1416,0.36640072
7,16.054,16.2056,0.15159988
8,16.796,16.6785,0.117500305
9,17.3367,17.488,0.15130043
10,18.188,17.8233,0.36470032
11,18.842,18.926,0.08400154
12,19.45,19.4164,0.033599854
13,19.7933,19.8855,0.092199326
14,19.874,19.9964,0.122400284
15,19.7033,19.8078,0.10449982
16,19.4567,19.4373,0.019399643
17,19.1487,19.1704,0.021699905
18,18.836,18.8594,0.023399353
19,18.56,18.5623,0.0023002625
20,18.188,18.3435,0.15550041
21,17.8287,17.8821,0.05340004
22,17.4667,17.5338,0.067100525
23,17.1333,17.2001,0.066799164
24,16.7867,16.8996,0.11289978
25,16.4233,16.5487,0.12540054
26,16.0613,16.1694,0.108098984
27,15.682,15.8202,0.1381998
28,15.332,15.4355,0.103500366
29,15.4,15.1228,0.27719975
30,15.9987,15.6245,0.37419987
31,17.0807,16.7573,0.3234005
32,18.1987,18.227,0.028299332
33,19.4693,19.2488,0.22049904
34,20.6653,20.5436,0.12170029
35,21.568,21.6359,0.067899704
36,22.1,22.1796,0.07959938
37,22.38,22.3309,0.04909897
38,22.42,22.4043,0.015699387
39,22.24,22.2729,0.032899857
40,21.9573,21.9192,0.03809929
41,21.6,21.5851,0.0149002075
42,21.22,21.2048,0.015199661
43,20.788,20.8296,0.041599274
44,20.2973,20.3694,0.072099686
45,19.882,19.8328,0.049200058
46,19.494,19.5152,0.02120018
47,19.1313,19.1785,0.04719925
48,18.6607,18.8327,0.17200089
49,18.2447,18.2568,0.01210022
50,17.8267,17.899,0.07229996
51,17.4167,17.5147,0.09799957
52,17.0767,17.1084,0.031700134
53,17.1507,16.8496,0.30109978
54,17.6973,17.3479,0.34939957
55,18.6707,18.3609,0.3097992
56,19.8533,19.6665,0.1868
57,20.932,20.9421,0.010101318
58,21.896,21.8007,0.095300674
59,22.5187,22.5795,0.060800552
60,22.8893,22.8605,0.028799057
61,23.048,22.9815,0.06649971
62,22.9787,22.9905,0.011798859
63,22.7027,22.7376,0.034900665
64,22.312,22.2963,0.015699387
65,21.884,21.8422,0.041801453
66,21.4333,21.4281,0.0051994324
67,20.9947,20.9875,0.007200241
68,20.5987,20.5782,0.020500183
69,20.196,20.2401,0.044101715
70,19.8133,19.8375,0.02420044
71,19.4613,19.4744,0.01309967
72,19.18,19.1645,0.015501022
73,18.8773,18.9584,0.081100464
74,18.6,18.6351,0.03509903
75,18.328,18.374,0.046001434
76,18.1647,18.12,0.044698715
77,18.0867,18.0664,0.020299911
78,18.2907,18.0792,0.21150017
79,18.8727,18.5458,0.32690048
80,19.8913,19.4911,0.4001999
81,21.0733,20.8797,0.1935997
82,22.3547,22.1279,0.22680092
83,23.408,23.3897,0.01830101
84,24.124,24.1535,0.029499054
85,24.536,24.4804,0.055599213
86,24.724,24.6169,0.10710144
87,24.7147,24.6388,0.07590103
88,24.5093,24.4879,0.021400452
89,24.236,24.1292,0.10680008
90,23.9787,23.8311,0.14760017
91,23.664,23.6376,0.026399612
92,23.32,23.2845,0.035499573
93,22.9427,22.9126,0.030099869
94,22.5813,22.5224,0.058900833
95,22.228,22.1911,0.036901474
96,21.896,21.8618,0.03420067
97,21.5027,21.5554,0.052700043
98,21.1093,21.1067,0.0025997162
99,20.7053,20.7162,0.010900497
