Timestamp,Index,Actual,Predicted,Match
2026-01-11 00:20:38,0,0,0,1
2026-01-11 00:20:39,1,0,0,1
2026-01-11 00:20:39,2,1,1,1
2026-01-11 00:20:40,3,2,2,1
2026-01-11 00:20:41,4,3,3,1
2026-01-11 00:20:41,5,4,4,1
2026-01-11 00:20:42,6,7,7,1
2026-01-11 00:20:43,7,8,8,1
2026-01-11 00:20:44,8,9,9,1
2026-01-11 00:20:44,9,0,0,1
2026-01-11 00:20:45,10,1,1,1
2026-01-11 00:20:46,11,2,3,0
2026-01-11 00:20:47,12,3,3,1
2026-01-11 00:20:47,13,4,4,1
2026-01-11 00:20:48,14,5,5,1
2026-01-11 00:20:49,15,6,6,1
2026-01-11 00:20:49,16,7,7,1
2026-01-11 00:20:50,17,8,8,1
2026-01-11 00:20:51,18,0,0,1
2026-01-11 00:20:52,19,1,1,1
2026-01-11 00:20:52,20,2,2,1
2026-01-11 00:20:53,21,3,3,1
2026-01-11 00:20:54,22,4,4,1
2026-01-11 00:20:55,23,7,7,1
2026-01-11 00:20:55,24,8,8,1
2026-01-11 00:20:56,25,9,9,1
2026-01-11 00:20:57,26,0,0,1
2026-01-11 00:20:58,27,8,8,1
2026-01-11 00:20:58,28,3,3,1
2026-01-11 00:20:59,29,9,9,1
2026-01-11 00:21:00,30,5,5,1
2026-01-11 00:21:00,31,5,5,1
2026-01-11 00:21:01,32,2,2,1
2026-01-11 00:21:02,33,6,6,1
2026-01-11 00:21:03,34,8,8,1
2026-01-11 00:21:03,35,4,4,1
2026-01-11 00:21:04,36,1,1,1
2026-01-11 00:21:05,37,7,7,1
2026-01-11 00:21:06,38,1,1,1
2026-01-11 00:21:06,39,2,3,0
2026-01-11 00:21:07,40,3,3,1
2026-01-11 00:21:08,41,5,5,1
2026-01-11 00:21:09,42,6,6,1
2026-01-11 00:21:09,43,9,9,1
2026-01-11 00:21:10,44,1,1,1
2026-01-11 00:21:11,45,1,1,1
2026-01-11 00:21:11,46,1,1,1
2026-01-11 00:21:12,47,2,2,1
2026-01-11 00:21:13,48,1,1,1
2026-01-11 00:21:14,49,2,2,1
2026-01-11 00:21:14,50,0,0,1
2026-01-11 00:21:15,51,7,7,1
2026-01-11 00:21:16,52,7,7,1
2026-01-11 00:21:17,53,5,5,1
2026-01-11 00:21:17,54,8,8,1
2026-01-11 00:21:18,55,2,2,1
2026-01-11 00:21:19,56,9,9,1
2026-01-11 00:21:20,57,8,8,1
2026-01-11 00:21:20,58,6,6,1
2026-01-11 00:21:21,59,7,7,1
2026-01-11 00:21:22,60,3,3,1
2026-01-11 00:21:22,61,4,4,1
2026-01-11 00:21:23,62,6,6,1
2026-01-11 00:21:24,63,8,8,1
2026-01-11 00:21:25,64,7,7,1
2026-01-11 00:21:25,65,0,0,1
2026-01-11 00:21:26,66,4,6,0
2026-01-11 00:21:27,67,2,3,0
2026-01-11 00:21:28,68,7,7,1
2026-01-11 00:21:28,69,7,7,1
2026-01-11 00:21:29,70,5,5,1
2026-01-11 00:21:30,71,4,4,1
2026-01-11 00:21:30,72,3,3,1
2026-01-11 00:21:31,73,4,6,0
2026-01-11 00:21:32,74,2,2,1
2026-01-11 00:21:33,75,8,8,1
2026-01-11 00:21:33,76,1,1,1
2026-01-11 00:21:34,77,5,5,1
2026-01-11 00:21:35,78,1,1,1
2026-01-11 00:21:36,79,0,0,1
2026-01-11 00:21:36,80,2,2,1
2026-01-11 00:21:37,81,3,3,1
2026-01-11 00:21:38,82,3,3,1
2026-01-11 00:21:39,83,5,5,1
2026-01-11 00:21:39,84,7,7,1
2026-01-11 00:21:40,85,0,0,1
2026-01-11 00:21:41,86,6,6,1
2026-01-11 00:21:41,87,8,8,1
2026-01-11 00:21:42,88,6,8,0
2026-01-11 00:21:43,89,3,3,1
2026-01-11 00:21:44,90,9,9,1
2026-01-11 00:21:44,91,9,9,1
2026-01-11 00:21:45,92,8,8,1
2026-01-11 00:21:46,93,2,2,1
2026-01-11 00:21:47,94,7,7,1
2026-01-11 00:21:47,95,7,7,1
2026-01-11 00:21:48,96,1,1,1
2026-01-11 00:21:49,97,0,0,1
2026-01-11 00:21:49,98,1,1,1
2026-01-11 00:21:50,99,7,7,1
2026-01-11 00:21:51,100,8,8,1
2026-01-11 00:21:52,101,9,9,1
2026-01-11 00:21:52,102,0,0,1
2026-01-11 00:21:53,103,1,1,1
2026-01-11 00:21:54,104,2,8,0
2026-01-11 00:21:55,105,3,3,1
2026-01-11 00:21:55,106,4,4,1
2026-01-11 00:21:56,107,5,5,1
2026-01-11 00:21:57,108,6,6,1
2026-01-11 00:21:58,109,7,7,1
2026-01-11 00:21:58,110,8,8,1
2026-01-11 00:21:59,111,0,0,1
2026-01-11 00:22:00,112,1,1,1
2026-01-11 00:22:00,113,2,3,0
2026-01-11 00:22:01,114,3,3,1
2026-01-11 00:22:02,115,4,2,0
2026-01-11 00:22:03,116,7,7,1
2026-01-11 00:22:03,117,8,8,1
2026-01-11 00:22:04,118,9,9,1
2026-01-11 00:22:05,119,7,7,1
2026-01-11 00:22:06,120,8,8,1
2026-01-11 00:22:06,121,6,6,1
2026-01-11 00:22:07,122,4,9,0
2026-01-11 00:22:08,123,1,1,1
2026-01-11 00:22:09,124,9,9,1
2026-01-11 00:22:09,125,3,3,1
2026-01-11 00:22:10,126,8,8,1
2026-01-11 00:22:11,127,4,4,1
2026-01-11 00:22:11,128,4,4,1
2026-01-11 00:22:12,129,7,7,1
2026-01-11 00:22:13,130,0,0,1
2026-01-11 00:22:14,131,1,1,1
2026-01-11 00:22:14,132,9,9,1
2026-01-11 00:22:15,133,2,2,1
2026-01-11 00:22:16,134,8,8,1
2026-01-11 00:22:17,135,7,7,1
2026-01-11 00:22:17,136,8,8,1
2026-01-11 00:22:18,137,2,2,1
2026-01-11 00:22:19,138,6,6,1
2026-01-11 00:22:19,139,0,0,1
2026-01-11 00:22:20,140,6,0,0
2026-01-11 00:22:21,141,5,5,1
2026-01-11 00:22:22,142,3,3,1
2026-01-11 00:22:22,143,3,3,1
2026-01-11 00:22:23,144,3,3,1
2026-01-11 00:22:24,145,9,9,1
2026-01-11 00:22:25,146,1,1,1
2026-01-11 00:22:25,147,4,6,0
2026-01-11 00:22:26,148,0,0,1
2026-01-11 00:22:27,149,6,6,1
2026-01-11 00:22:28,150,1,1,1
2026-01-11 00:22:28,151,0,0,1
2026-01-11 00:22:29,152,0,0,1
2026-01-11 00:22:30,153,6,0,0
2026-01-11 00:22:30,154,2,2,1
2026-01-11 00:22:31,155,1,1,1
2026-01-11 00:22:32,156,1,1,1
2026-01-11 00:22:33,157,7,7,1
2026-01-11 00:22:33,158,7,7,1
2026-01-11 00:22:34,159,8,8,1
2026-01-11 00:22:35,160,4,4,1
2026-01-11 00:22:36,161,6,6,1
2026-01-11 00:22:36,162,0,0,1
2026-01-11 00:22:37,163,7,7,1
2026-01-11 00:22:38,164,0,0,1
2026-01-11 00:22:39,165,3,3,1
2026-01-11 00:22:39,166,6,6,1
2026-01-11 00:22:40,167,8,8,1
2026-01-11 00:22:41,168,7,7,1
2026-01-11 00:22:41,169,1,1,1
2026-01-11 00:22:42,170,5,5,1
2026-01-11 00:22:43,171,2,2,1
2026-01-11 00:22:44,172,4,4,1
2026-01-11 00:22:44,173,9,9,1
2026-01-11 00:22:45,174,4,4,1
2026-01-11 00:22:46,175,3,3,1
2026-01-11 00:22:47,176,6,6,1
2026-01-11 00:22:47,177,4,4,1
2026-01-11 00:22:48,178,1,1,1
2026-01-11 00:22:49,179,7,7,1
2026-01-11 00:22:49,180,2,2,1
2026-01-11 00:22:50,181,6,6,1
2026-01-11 00:22:51,182,5,5,1
2026-01-11 00:22:52,183,0,0,1
2026-01-11 00:22:52,184,1,1,1
2026-01-11 00:22:53,185,2,2,1
2026-01-11 00:22:54,186,3,3,1
2026-01-11 00:22:55,187,4,4,1
2026-01-11 00:22:55,188,5,5,1
2026-01-11 00:22:56,189,6,6,1
2026-01-11 00:22:57,190,7,7,1
2026-01-11 00:22:58,191,8,8,1
2026-01-11 00:22:58,192,9,9,1
2026-01-11 00:22:59,193,0,0,1
2026-01-11 00:23:00,194,1,1,1
2026-01-11 00:23:00,195,2,2,1
2026-01-11 00:23:01,196,3,3,1
2026-01-11 00:23:02,197,4,4,1
2026-01-11 00:23:03,198,5,5,1
2026-01-11 00:23:03,199,6,2,0
